"name","authorFirstName","authorLastName","category","isbn","issn","mediaType","location"
"Weltwunder der Natur","Herbert","Franke","Fachbuch Geschichte","9783906058184",,"Buch","Außenstelle Brigittenau I"
"Karl Marx","Richard","Friedenthal","Fachbuch Geschichte","9783492027137",,"Buch","Außenstelle Brigittenau I"
"Leonardo","Richard","Friedenthal","Fachbuch Geschichte",,,"Buch","Außenstelle Brigittenau I"
"Sofies Welt","Jostein","Gaarder","Belletristik","9783423620000",,"Buch","Außenstelle Brigittenau I"
"Wer pumpt die Luft in die Paprika?","Peter-Matthias","Gaede","Fachbuch Naturwissenschaften","9783499620867",,"Buch","Außenstelle Brigittenau I"
"Ansible for DevOps","Jeff","Geerling","Fachbuch IT","9780986393419",,"Buch","Außenstelle Brigittenau I"
"SQL kurz & gut","Jonathan","Gennick","Fachbuch IT","9783897215221",,"Buch","Außenstelle Brigittenau I"
"Steinheilkunde","Michael","Gienger","Fachbuch Religion","9783890600154",,"Buch","Außenstelle Brigittenau I"
"Metro 2034","Dmitry","Gluchowsky","Belletristik","9783453533011",,"Buch","Außenstelle Brigittenau I"
"Metro 2035","Dmitry","Gluchowsky","Belletristik","9783453315556",,"Buch","Außenstelle Brigittenau I"
"Metro 2033","Dmitry","Gluchowsky","Belletristik","9783453532984",,"Buch","Außenstelle Brigittenau I"
"PHP 5 Neuerungen","Martin","Goldmann","Fachbuch IT","9783898424905",,"Buch","Außenstelle Brigittenau I"
"The da Vinci Code","Akiva","Goldsman","Fachbuch Diverse","9783404285020",,"Buch","Außenstelle Brigittenau I"
"Der Herrscher des Himmels","Barbara","Goldstein","Belletristik","9783404156092",,"Buch","Außenstelle Brigittenau I"
"Am Ende der Welten","Terry","Goodkind","Belletristik","9783442373895",,"Buch","Außenstelle Brigittenau I"
"Das erste Gesetz der Magie","Terry","Goodkind","Belletristik","9783442369676",,"Buch","Außenstelle Brigittenau I"
"Der Tempel der vier Winde","Terry","Goodkind","Belletristik","9783442371044",,"Buch","Außenstelle Brigittenau I"
"Die Günstlinge der Unterwelt","Terry","Goodkind","Belletristik","9783442369690",,"Buch","Außenstelle Brigittenau I"
"Die Magie der Erinnerung","Terry","Goodkind","Belletristik","9783442372904",,"Buch","Außenstelle Brigittenau I"
"Die Säulen der Schöpfung","Terry","Goodkind","Belletristik","9783442372881",,"Buch","Außenstelle Brigittenau I"
"Die Schwestern des Lichts","Terry","Goodkind","Belletristik","9783442369683",,"Buch","Außenstelle Brigittenau I"
"Die Seele des Feuers","Terry","Goodkind","Belletristik","9783442371051",,"Buch","Außenstelle Brigittenau I"
"Konfessor","Terry","Goodkind","Belletristik","9783442373901",,"Buch","Außenstelle Brigittenau I"
"Schwester der Finsternis","Terry","Goodkind","Belletristik","9783442371068",,"Buch","Außenstelle Brigittenau I"
"Tunnel - Das Licht der Finsternis","Roderick","Gordon","Belletristik","9783401062747",,"Buch","Außenstelle Brigittenau I"
"Asterix redt Wienerisch 4","Rene","Goscinny","Comic","9783770440146",,"Buch","Außenstelle Brigittenau I"
"Gita - wie sie ist","Divine","Grace","Belletristik","9789171496515",,"Buch","Außenstelle Brigittenau I"
